time,current_a,voltage_v,power_kw,anomaly
2020-02-08 13:30:47+00:00,2.16975,238.852,0.518249127,0
2020-02-08 13:30:48+00:00,2.07999,227.943,0.47411916057000003,0
2020-02-08 13:30:50+00:00,2.52577,223.486,0.56447423422,0
2020-02-08 13:30:51+00:00,2.49742,244.904,0.61162814768,0
2020-02-08 13:30:52+00:00,2.29194,239.196,0.54822288024,0
2020-02-08 13:30:53+00:00,2.57094,240.549,0.6184370460599999,0
2020-02-08 13:30:54+00:00,3.10397,251.862,0.7817720921399999,0
2020-02-08 13:30:55+00:00,2.40694,228.402,0.54974990988,0
2020-02-08 13:30:56+00:00,2.56711,226.631,0.58178670641,0
2020-02-08 13:30:57+00:00,2.4602,218.205,0.536827941,0
2020-02-08 13:30:58+00:00,3.0298,235.331,0.7130058638,0
2020-02-08 13:30:59+00:00,2.65212,233.248,0.61860168576,0
2020-02-08 13:31:00+00:00,2.88061,245.606,0.7074950996599999,0
2020-02-08 13:31:01+00:00,2.91862,223.261,0.6516140198200001,0
2020-02-08 13:31:02+00:00,2.90396,206.892,0.60080609232,0
2020-02-08 13:31:03+00:00,2.86733,236.717,0.6787457556100001,0
2020-02-08 13:31:04+00:00,3.05417,218.205,0.6664351648500001,0
2020-02-08 13:31:05+00:00,1.44434,220.715,0.3187875031,0
2020-02-08 13:31:06+00:00,2.82781,234.287,0.6625191214699999,0
2020-02-08 13:31:07+00:00,2.80555,224.112,0.6287574216,0
2020-02-08 13:31:09+00:00,2.65724,228.314,0.60668509336,0
2020-02-08 13:31:10+00:00,2.50867,229.464,0.57564945288,0
2020-02-08 13:31:11+00:00,1.7947,226.338,0.40620880859999997,0
2020-02-08 13:31:12+00:00,2.11039,229.44,0.48420788160000006,0
2020-02-08 13:31:13+00:00,2.53479,221.335,0.56103774465,0
2020-02-08 13:31:14+00:00,1.78388,220.416,0.39319569407999994,0
2020-02-08 13:31:15+00:00,1.93663,233.562,0.45232317606000005,0
2020-02-08 13:31:16+00:00,2.12854,249.643,0.53137511122,0
2020-02-08 13:31:17+00:00,2.49631,236.765,0.5910388371499999,0
2020-02-08 13:31:18+00:00,1.77498,230.408,0.40896959184,0
2020-02-08 13:31:19+00:00,2.18757,235.981,0.5162249561700001,0
2020-02-08 13:31:20+00:00,2.59247,226.787,0.58793849389,0
2020-02-08 13:31:21+00:00,2.1304,228.136,0.48602093439999994,0
2020-02-08 13:31:22+00:00,1.10258,207.957,0.22928922905999996,0
2020-02-08 13:31:23+00:00,2.5835,220.186,0.568850531,0
2020-02-08 13:31:24+00:00,2.59213,247.061,0.6404142299300001,0
2020-02-08 13:31:25+00:00,2.34228,221.83,0.5195879724,0
2020-02-08 13:31:26+00:00,2.82599,247.629,0.69979707771,0
2020-02-08 13:31:27+00:00,2.63721,227.858,0.60090939618,0
2020-02-08 13:31:29+00:00,2.89982,231.031,0.6699483144200001,0
2020-02-08 13:31:30+00:00,2.53872,220.812,0.56057984064,0
2020-02-08 13:31:31+00:00,2.73273,228.067,0.6232455329100001,0
2020-02-08 13:31:32+00:00,1.16224,216.861,0.25204452864,0
2020-02-08 13:31:33+00:00,2.74667,233.377,0.64100960459,0
2020-02-08 13:31:34+00:00,3.16155,244.014,0.7714624617000001,0
2020-02-08 13:31:35+00:00,2.94976,238.787,0.7043643411199999,0
2020-02-08 13:31:36+00:00,3.1974,231.295,0.7395426329999999,0
2020-02-08 13:31:37+00:00,2.75143,228.721,0.62930982103,0
2020-02-08 13:31:38+00:00,2.795,224.052,0.62622534,0
2020-02-08 13:31:39+00:00,2.65971,227.27,0.6044722917,0
2020-02-08 13:31:40+00:00,2.8309,215.82,0.610964838,0
2020-02-08 13:31:41+00:00,1.96856,228.589,0.44999116184000004,0
2020-02-08 13:31:42+00:00,1.87314,233.631,0.43762357134,0
2020-02-08 13:31:43+00:00,1.86916,233.071,0.43564699036,0
2020-02-08 13:31:45+00:00,2.9345,227.096,0.6664132119999999,0
2020-02-08 13:31:46+00:00,2.71685,229.92,0.624658152,0
2020-02-08 13:31:47+00:00,2.32621,229.632,0.5341722547200001,0
2020-02-08 13:31:48+00:00,2.35647,234.154,0.55177687638,0
2020-02-08 13:31:49+00:00,2.54302,237.438,0.6038095827599999,0
2020-02-08 13:31:50+00:00,1.17905,212.71,0.2507957255,0
2020-02-08 13:31:51+00:00,2.12139,231.748,0.49162788971999993,0
2020-02-08 13:31:52+00:00,2.36979,223.551,0.52976892429,0
2020-02-08 13:31:53+00:00,1.90811,229.721,0.43833293731,0
2020-02-08 13:31:54+00:00,1.94538,227.809,0.44317507242,0
2020-02-08 13:31:55+00:00,2.17024,236.404,0.5130534169600001,0
2020-02-08 13:31:56+00:00,1.88012,228.693,0.42997028316,0
2020-02-08 13:31:57+00:00,1.91311,228.367,0.43689119137,0
2020-02-08 13:31:58+00:00,2.8069,233.06,0.6541761140000001,0
2020-02-08 13:32:00+00:00,1.4851,217.373,0.3228206423,0
2020-02-08 13:32:01+00:00,1.86499,231.72,0.43215548279999993,0
2020-02-08 13:32:02+00:00,1.73478,229.611,0.39832457058,0
2020-02-08 13:32:03+00:00,1.33767,216.347,0.28940089149,0
2020-02-08 13:32:04+00:00,2.64369,227.199,0.60064372431,0
2020-02-08 13:32:05+00:00,2.07008,229.411,0.47489912287999997,0
2020-02-08 13:32:06+00:00,1.62458,217.402,0.35318694115999993,0
2020-02-08 13:32:07+00:00,1.87632,219.911,0.41262340752,0
2020-02-08 13:32:08+00:00,1.99206,228.684,0.45555224903999997,0
2020-02-08 13:32:09+00:00,1.85799,240.172,0.44623717428,0
2020-02-08 13:32:10+00:00,2.21462,239.669,0.53077576078,0
2020-02-08 13:32:11+00:00,1.97256,227.234,0.44823269904000007,0
2020-02-08 13:32:12+00:00,2.08963,231.617,0.48399383171,0
2020-02-08 13:32:13+00:00,2.39032,240.337,0.57448233784,0
2020-02-08 13:32:15+00:00,2.3898,215.654,0.5153699292,0
2020-02-08 13:32:16+00:00,2.4305,237.831,0.5780482454999999,0
2020-02-08 13:32:17+00:00,2.49241,232.057,0.57838118737,0
2020-02-08 13:32:18+00:00,2.5644,234.251,0.6007132644000001,0
2020-02-08 13:32:19+00:00,2.92341,225.182,0.65829931062,0
2020-02-08 13:32:20+00:00,2.86705,221.042,0.6337384661,0
2020-02-08 13:32:21+00:00,3.12412,246.417,0.76983627804,0
2020-02-08 13:32:22+00:00,2.85834,203.03,0.5803287702,0
2020-02-08 13:32:23+00:00,2.93701,230.016,0.6755592921599999,0
2020-02-08 13:32:24+00:00,2.23631,234.756,0.52498719036,0
2020-02-08 13:32:25+00:00,2.72595,228.556,0.6230322282,0
2020-02-08 13:32:26+00:00,2.68889,220.586,0.59313148954,0
2020-02-08 13:32:27+00:00,2.86649,236.988,0.6793237321200001,0
2020-02-08 13:32:28+00:00,2.46936,218.249,0.53893535064,0
2020-02-08 13:32:29+00:00,2.07838,224.596,0.46679583448000006,0
2020-02-08 13:32:30+00:00,2.92597,231.115,0.6762355565500001,0
2020-02-08 13:32:31+00:00,2.99375,229.115,0.68591303125,0
2020-02-08 13:32:32+00:00,2.3909,217.926,0.5210392734,0
2020-02-08 13:32:34+00:00,2.47058,202.837,0.50112503546,0
2020-02-08 13:32:35+00:00,2.55831,242.95,0.6215414145,0
2020-02-08 13:32:36+00:00,2.75913,228.949,0.63170005437,0
